Name,Interests,Cluster,Journey Frequency
Michael Delker,"movie,adventure,science,politics,fashion,culture",96,702
Aaron Calder,"science,politics,culture,adventure,food,movie",582,518
James Higgins,"food,pets",32,970
Alicia Hudson,"food,pets,science,joke,adventure,movie,sports",518,2
Alice Schmidt,"fashion,science,food,joke,adventure,politics,movie",278,772
Edwin Steury,"adventure,politics,pets,sports,culture",382,934
Gaye Long,"fashion,politics,sports,joke,adventure,movie",114,704
George Duncan,"movie,sports",66,217
Michael Manning,"science,politics,pets,food,fashion",506,386
Odell Armstrong,"culture,adventure",133,904
Samuel Neill,"politics,food,pets",174,576
Joseph Lofaro,culture,15,549
Latoria Matto,"culture,joke,movie,sports,pets",80,863
Ralph Shook,"fashion,politics",127,422
Dale Cox,"science,politics",51,553
William Yokota,"adventure,food,culture,joke",216,6
Leslie Bonilla,"sports,movie,culture,pets,adventure,fashion",393,686
Monty Hunley,culture,15,446
Cynthia Sharpe,culture,15,312
Jose Alvarez,movie,11,55
Dennis Pavlosky,science,35,491
Lisa Wilson,pets,18,584
Cynthia Goodrich,"fashion,science,culture,movie,pets",126,950
James Bowen,"culture,sports,adventure",111,575
Charles Karow,"fashion,science",52,30
Judy Boyles,"fashion,movie,politics,food,culture",476,316
Muriel Ng,"pets,food,culture,science",408,663
Pat Harrelson,"food,movie,sports",204,818
Earnest Ryan,"politics,sports,fashion,culture,pets,movie,food",541,263
Eugene Collins,"science,pets,culture,adventure",285,861
Bradley Wolfgang,"fashion,sports,adventure,food,joke,culture,science",198,500
Richard Rhone,"food,adventure,movie,politics,pets",527,475
Michael Bedford,"sports,culture,science",277,384
Deborah Davis,"culture,fashion",30,235
Edward Rogers,"sports,pets,science,culture,politics",121,48
Norman Thompson,"pets,culture,movie,politics,food",341,918
Lorrine Wood,"sports,culture,pets",172,506
David Wildridge,"fashion,joke,science,politics,adventure,sports,food",28,572
Cameron Gallegos,"food,sports,politics,culture,pets,fashion,joke",129,956
Donna Roy,"science,pets,movie",349,524
Wendell Ryan,"science,joke,adventure",302,950
Quintin Irvine,"movie,sports,adventure,culture,joke,fashion",7,116
Margaret Firestone,"movie,sports,joke,food,fashion,science,adventure",434,224
Cynthia Black,"adventure,joke",58,990
Lue Herman,sports,8,737
Lisa Desoto,"adventure,sports,science,culture",576,498
Brian Batiz,fashion,9,148
Ricardo Richardson,"adventure,food,culture,science,fashion",339,98
Danielle Hamilton,"culture,movie",67,893
Ted Grubb,"politics,movie",120,66
Bruce Swinney,"joke,movie,sports,fashion",422,223
Julio Ring,"adventure,food,science,joke,movie,culture,sports",160,687
Lynn Luchesi,politics,20,152
Tiffany Magness,"culture,science,movie",73,65
Mark Keen,"culture,politics,movie",270,83
Lyman Lehnen,"pets,fashion",95,87
Patricia Burns,"adventure,science,politics",326,782
Randolph Jackson,"fashion,politics,adventure",82,824
Orlando Welker,pets,18,62
Pat Omersa,"movie,joke,food,science,culture",565,183
Jesus Curran,movie,11,23
Joseph Dryden,"sports,adventure",123,312
Kay Sanders,culture,15,985
Edward Fine,"pets,culture,science,fashion,food,movie",552,677
Dale Mansfield,"movie,pets,joke,culture,science",21,613
Angela Meyer,"movie,joke,adventure,pets,politics,food",44,595
Louis Sunderland,"movie,politics,culture,fashion,science,sports,food",116,641
Cheryl Baker,"joke,pets,politics",300,453
Corine Wade,"movie,science,joke,sports,politics,adventure",591,530
Doris Esposito,"culture,fashion,movie",369,693
Daniel Rex,"science,adventure,fashion,pets",347,354
Jamie Gomes,"food,joke",99,455
Randy Alexander,"joke,politics",4,180
Alexander Eggert,"food,politics,movie,adventure,culture,fashion,science",428,299
Julia Burt,"culture,science,politics,fashion,joke,food,pets",442,596
Vance Schneider,"joke,adventure,politics,culture",545,905
Shirley Park,"movie,politics,fashion,pets,joke,culture,sports",593,967
Jacqueline Davis,"sports,fashion,movie",240,442
Lottie Orr,"science,food,politics,movie,joke,pets,culture",155,180
Nadine Norman,"adventure,fashion,politics,sports,joke",114,191
Robert Crosby,"science,adventure,pets,joke",437,440
Roy Mcdowell,"politics,culture,movie,joke,food,science",13,961
Earl Grant,"sports,politics,adventure,pets,science,food,culture",104,988
Tracy Crawford,"adventure,food,science,joke",366,370
Rita Hummingbird,"fashion,culture",30,197
Valerie Severy,"adventure,movie",29,445
Gerald Waller,"joke,culture,adventure",310,857
Juan Rodriguez,"science,sports,food,movie,fashion,joke,culture",340,856
Ana Wagner,"pets,food,joke,science,fashion",103,913
Michelle Wicklund,"adventure,science,pets,fashion",347,793
Katrina Garcia,"culture,movie,adventure,joke,fashion,politics,food",543,566
Christian Hardy,"sports,science,pets,joke",435,182
Carrie Benzing,"science,movie,politics",220,291
Randy Evans,"culture,joke,food,pets,science,sports,movie",413,911
Regina Cole,food,24,97
Heather Carlyle,"sports,politics,food,science,adventure",497,255
Pearl Phan,"adventure,science,fashion,pets,culture",524,794
Raymundo Sterner,"movie,adventure,joke,politics,pets,sports,science",423,807
Marlene Jemmott,"joke,pets,food,culture,fashion",468,361
Donald Gilmore,"culture,pets",86,729
Elsie Parker,"politics,science,pets,adventure,fashion",410,848
Robert Gresham,"culture,adventure",133,431
Joseph Obrien,"science,fashion,movie,pets,sports",557,61
William Brown,"sports,movie,fashion,adventure,culture,science",165,489
Lorraine Solomon,"pets,politics,movie,adventure,fashion,joke",271,617
Arthur Beckman,"science,joke,culture,sports,food",392,797
Isela Shields,"politics,movie",120,13
Kimberly Cannon,"sports,science,politics,adventure,movie,joke",591,751
June Lindsay,"politics,sports,culture,adventure,pets",382,214
Anne Cruz,"adventure,food,politics,movie,joke",224,726
Ariana Ferguson,"pets,politics,sports,movie,science,culture",121,581
Laura Kreiter,"politics,science,joke,sports,culture",107,877
Mary Cribb,"fashion,adventure,food,science,pets,sports,politics",94,234
Ronald Stammer,"culture,science,fashion,politics,food",163,490
Paul Veltman,sports,8,984
Jo Williamson,"pets,food,fashion,culture",266,339
Jennifer Walton,"pets,politics",53,813
Michael Jones,"movie,pets,science,sports,adventure,politics",230,524
Vickie Mckoy,"science,culture,joke,movie",322,754
William Abrahams,"politics,pets,food",174,472
John Wheeler,movie,11,197
Randall Johnson,"fashion,joke,pets,culture",401,574
Dorthy Clemmons,"science,pets",87,665
James Schultz,culture,15,444
Perry Dombrowski,"sports,food,joke,politics,pets,culture",129,743
Patricia Greer,"culture,movie,joke,pets,science,food",288,235
Elias Bacon,"food,sports,pets,movie",533,822
Lewis Talley,"science,culture,politics,pets,adventure,movie,sports",443,755
Mary Robey,"politics,food,science,adventure",84,940
Eugene Senegal,"politics,food,joke,movie,pets,fashion,culture",421,324
Alecia Stegmann,"fashion,adventure,culture,movie",330,823
David Bernard,"food,movie,fashion,science",201,230
Suzanne Gray,"science,joke,sports,food,adventure",463,948
Maria Dunford,joke,14,577
Leroy Montoya,"pets,joke,science,politics,fashion,movie,sports",455,957
Rodney Williams,food,24,239
Dana Weigle,"adventure,sports,joke,pets",583,334
Kimberly Montoya,"movie,science,fashion,politics,adventure,joke",320,529
Robert Harness,"culture,food",124,453
Daniel Herring,"joke,politics",4,891
Michael Matten,"joke,culture,sports,politics,movie,fashion",439,231
Rachel Miller,"politics,movie,fashion,food,joke,science,adventure",278,759
Bradley Yates,"sports,pets,joke,politics,fashion",358,978
Harold Austin,"culture,fashion",30,680
Frances Rose,"movie,culture,food,fashion,sports",387,552
Antonio Blackman,"movie,culture,science,sports,pets,adventure,politics",443,733
James Gonzales,"food,sports,adventure,culture,science,joke",198,207
Scott Allen,"adventure,politics,pets,sports,movie",584,564
Ronald Madlock,"movie,adventure,joke,politics",535,464
Rayford West,"fashion,food",76,92
Tracy Langholz,"adventure,food,joke",247,747
Patrick Corell,"movie,sports,culture,science,food",387,633
Mildred Anderson,"food,movie",63,502
Carol Runyan,movie,11,895
Josef Downey,"politics,joke,food",219,850
Scott Michel,"pets,culture,fashion,science",137,781
Robert Bourgeois,"politics,adventure,culture,food,pets,fashion,science",498,561
Matthew Burnett,"fashion,sports",48,848
David Atkins,"movie,culture,science,joke",322,749
Genoveva King,"sports,politics,joke",199,784
Lorenzo Mchattie,"movie,adventure,culture",314,898
Israel Rutledge,pets,18,433
Andrew William,"pets,culture,food,adventure",540,125
Wilbur Bell,"sports,joke,pets,science,fashion,movie",438,998
Warren Mckinney,science,35,492
Ronnie Campbell,sports,8,945
Glenn Rayburn,"adventure,politics,science,fashion,joke,pets,movie",271,565
Lawrence Pilkington,"science,pets,food",62,417
Nancy Senske,"pets,sports,science,culture,joke,movie",499,655
Gregg Salinas,"food,fashion,sports,culture,politics,pets",549,782
Lee Hyde,"fashion,science,movie,culture",361,67
Cassandra Plourd,"culture,science,politics,food,fashion,pets",33,613
Pam Gabbard,"sports,joke",78,577
Jennifer Precourt,"politics,culture,science,adventure,joke,movie,food",243,391
Emma Bradley,"food,culture,adventure,politics,movie",47,69
Melissa Banks,"science,food",85,982
Clara Taub,"joke,pets,food,movie,fashion,culture,sports",384,151
Corey Crespin,"politics,fashion,adventure,food,sports,movie,culture",403,886
James Hossack,pets,18,434
Jennifer Reames,fashion,9,385
Eduardo Downey,"culture,joke,food,fashion,movie",565,108
Tamara Osbourne,"science,food,adventure,culture",138,839
Albert Mccarty,"sports,politics,science,adventure,fashion,movie",323,382
Elena Carnes,"pets,adventure,science,joke",437,650
Frank Rodriguez,"sports,science,culture,adventure,joke,politics",221,856
Sabrina Mcdaniel,"movie,fashion",77,945
Michele Nelson,pets,18,522
Troy Chapman,"sports,pets",49,331
Helen Stevens,"movie,food,joke,adventure,pets,fashion",571,767
Allen Hurt,"food,adventure",54,836
Angela Wheeler,"science,culture",50,753
Jc Bates,"joke,pets",93,412
Kennith Carter,"food,fashion,joke,movie,culture,sports,science",340,371
John Brown,"joke,movie,adventure,food,culture,politics",243,435
Sue Sawyer,"pets,politics",53,502
Von Markle,sports,8,611
Robin Trautman,"sports,science",60,508
Lisa Mason,"adventure,movie,sports",170,913
Richard Thomas,"science,pets,movie,food",504,122
James Doyle,"politics,culture,adventure,food",400,951
Teresa Wheeler,"science,sports",60,741
Rosa Barnes,"culture,politics,movie,fashion",427,972
Karen Lambert,"food,science,adventure,movie",447,263
Veronica Abbott,"pets,science,fashion,food,sports",342,969
Phyllis Jimenez,"adventure,food,science,movie,pets,politics,joke",381,844
Fatima Wallen,"adventure,sports,movie,fashion",547,194
Gerald Patterson,"movie,fashion,adventure,food,science,joke,pets",564,482
Donna Brown,"movie,pets,food",225,528
Roberto Bobbitt,"science,fashion,food,movie,sports,joke,culture",340,522
Bessie Beltrami,"science,adventure,sports,politics",515,173
Ronald Willbanks,"culture,fashion,pets,food,movie,politics,joke",421,844
Steven Griffin,movie,11,691
Eric Hanson,"food,adventure,science",261,710
Bernard Reyes,culture,15,454
David Jackson,"fashion,sports,joke,science,food,movie,adventure",434,332
Linda Titus,"sports,movie,politics,adventure,joke,fashion",114,184
Dale Delacerda,"food,culture,movie",448,1
Gary Davenport,"fashion,adventure",119,588
Erin Stile,"fashion,joke,science,sports,pets,politics",510,512
Samantha Bravo,food,24,900
James Ainsworth,"fashion,joke",112,631
Frederick Pommer,"movie,sports,politics",209,745
Susan Meyer,"pets,food,politics,science,sports",522,126
Tony Kirby,"adventure,joke,culture,science",598,609
Darrell Miller,"culture,politics,adventure,movie,science,joke",546,622
Joseph Featherston,"food,joke,culture,politics,adventure,fashion,sports",390,899
Robert Messler,"food,pets,sports,culture,fashion,politics",549,577
Robert Herring,science,35,742
William Campbell,"adventure,movie,fashion",334,408
Kelly Vroman,"joke,culture,movie,food",312,1000
Ellen Davis,"sports,adventure,culture,politics",404,315
Robert Johnson,food,24,501
Anita Keller,adventure,26,803
Bradley Brower,"pets,food,movie,science",504,66
Elizebeth Maldonado,"adventure,sports,science,fashion,food,movie,politics",412,440
Sophie Bourne,"movie,culture,food,sports,joke,pets,adventure",364,427
David Ellington,"movie,joke,pets,culture,adventure",586,266
Mary Ferguson,"pets,food,adventure,joke,fashion,science,culture",528,383
Stella Osburn,"culture,movie,politics,joke",553,145
Michelle Moody,"joke,science,culture,fashion,sports,movie,pets",499,436
Lisa King,"pets,adventure,sports,food,science",342,926
Ricky Seegmiller,"culture,pets,joke",268,102
Emily Norsworthy,"fashion,science,sports,food,joke,politics",148,162
Rick Sturtevant,"culture,joke,politics,food",389,907
Stephanie Jones,"adventure,movie,fashion,pets,sports,culture",393,741
Dale Roher,joke,14,481
Robert Mcmillen,"adventure,pets,fashion,joke,food,movie,politics",44,164
Zackary Moore,"fashion,science,food,movie,pets,politics",577,254
Isaac Ledesma,"culture,pets,science,politics,joke",290,283
Nancy Serna,"movie,sports,culture",284,400
Ronald Wong,"politics,pets,food,sports,science,movie,culture",187,991
Matilde Odom,"movie,sports,pets,politics",531,493
Ernestine Luebke,"pets,science,fashion,politics",440,733
Robert Lewis,"fashion,politics,pets,culture,joke,movie",83,579
Michelle Fernandez,"science,adventure",10,613
Betty Linton,"joke,pets,science,movie,fashion",478,773
Dawn Wilson,"sports,pets,food",189,35
Robert Ferraro,joke,14,98
William Bryant,"movie,science,culture,food,fashion,pets,sports",70,582
Julie Levin,"science,food,fashion,pets",575,117
Kevin Marshall,"politics,fashion,pets,food",350,120
David Fillmore,"movie,culture",67,108
James Steedley,"sports,pets,fashion,science,movie,adventure,joke",438,63
Alan Rose,"politics,food",43,5
Jose Cedar,"food,culture,sports,adventure,movie,politics,pets",317,252
Jose Whitley,"joke,food,culture,fashion",356,103
Andrew Dodge,"food,politics,movie",303,665
Kristie Woo,"sports,movie,fashion,adventure,joke,pets",438,72
John Frailey,"politics,movie,sports,fashion",574,311
Janet Williams,joke,14,789
Susan Fosmire,"adventure,sports,joke,movie,culture,pets,politics",39,409
Maria Olson,fashion,9,529
